what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826054402
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300826054953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826067611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826206730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826212094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826216853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826217642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826341937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826342812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826343729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826345527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826346156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826355161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826366065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826366567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826380523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826380739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826382280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826385994
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1300826386860
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1300826386892
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1300826387581
error,log,,,"Unhandled event loop exception",1300826389000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826389189
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1300826389269
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300826389365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826395587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826422244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826423110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826433731
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300826437393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826441328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300826457664
